Starting backup at Thu Dec 25 11:49:50 CST 2025
Source: /jenquist-cloud
Destination: b2-encrypted:
---
2025/12/25 11:49:52 NOTICE: backups/rsnapshot/alpha.1/localhost/etc/alternatives/nvidia--libnvcuvid.so-x86_64-linux-gnu: Can't follow symlink without -L/--copy-links
2025/12/25 11:49:52 NOTICE: backups/rsnapshot/alpha.1/localhost/etc/alternatives/view.pl.1.gz: Can't follow symlink without -L/--copy-links
2025/12/25 11:49:52 NOTICE: backups/rsnapshot/alpha.1/localhost/etc/alternatives/iptables: Can't follow symlink without -L/--copy-links
2025/12/25 11:49:52 NOTICE: backups/rsnapshot/alpha.1/localhost/etc/alternatives/view.ja.1.gz: Can't follow symlink without -L/--copy-links
2025/12/25 11:49:52 NOTICE: backups/rsnapshot/alpha.1/localhost/etc/alternatives/open.1.gz: Can't follow symlink without -L/--copy-links
2025/12/25 11:49:52 NOTICE: backups/rsnapshot/alpha.1/localhost/etc/alternatives/tcptraceroute.8.gz: Can't follow symlink without -L/--copy-links
2025/12/25 11:49:52 NOTICE: backups/rsnapshot/alpha.1/localhost/etc/alternatives/nvidia--libEGL_nvidia.so.0-x86_64-linux-gnu: Can't follow symlink without -L/--copy-links
2025/12/25 11:49:52 NOTICE: backups/rsnapshot/alpha.1/localhost/etc/alternatives/gstreamer-codec-install: Can't follow symlink without -L/--copy-links
2025/12/25 11:49:52 NOTICE: backups/rsnapshot/alpha.1/localhost/etc/alternatives/nvidia--libnvidia-ml.so.1-x86_64-linux-gnu: Can't follow symlink without -L/--copy-links
2025/12/25 11:49:52 NOTICE: backups/rsnapshot/alpha.1/localhost/etc/alternatives/arptables: Can't follow symlink without -L/--copy-links
2025/12/25 11:49:52 NOTICE: backups/rsnapshot/alpha.1/localhost/etc/alternatives/vi.da.1.gz: Can't follow symlink without -L/--copy-links
2025/12/25 11:49:52 NOTICE: backups/rsnapshot/alpha.1/localhost/etc/alternatives/bf_copy: Can't follow symlink without -L/--copy-links
